team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
HOU,1,100,95,330,670
JMU,12,55,93,257,743
DUKE,4,93,55,743,257
OAK,14,73,79,738,262
NCSU,11,79,73,262,738
COLO,10,77,81,472,528
MARQ,2,81,77,528,472
USU,8,67,106,150,850
PUR,1,106,67,850,150
KU,4,68,89,437,563
GONZ,5,89,68,563,437
ORE,11,73,86,103,897
CREI,3,86,73,897,103
TEX,7,58,62,195,805
TENN,2,62,58,805,195
SDSU,5,52,82,154,846
CONN,1,82,52,846,154
ISU,2,69,72,516,484
ILL,3,72,69,484,516
UNC,1,87,89,429,571
ALA,4,89,87,571,429
ARIZ,2,72,77,489,511
CLEM,6,77,72,511,489
HOU,1,51,54,175,825
DUKE,4,54,51,825,175
MARQ,2,58,67,624,376
NCSU,11,67,58,376,624
GONZ,5,68,80,289,711
PUR,1,80,68,711,289
CREI,3,75,82,703,297
TENN,2,82,75,297,703
ILL,3,52,77,596,404
CONN,1,77,52,404,596
CLEM,6,82,89,188,812
ALA,4,89,82,812,188
DUKE,4,64,76,705,295
NCSU,11,76,64,295,705
TENN,2,66,72,415,585
PUR,1,72,66,585,415
ALA,4,72,86,611,389
CONN,1,86,72,389,611
NCSU,11,63,50,122,878
PUR,1,50,63,878,122
CONN,1,75,60,702,298
PUR,1,60,75,298,702
ALST,16,70,68,140,860
SFPA,16,68,70,860,140
TEX,11,80,86,418,582
XAV,11,86,80,582,418
AMER,16,72,83,617,383
MSM,16,83,72,383,617
SDSU,11,68,95,95,905
UNC,11,95,68,905,95
AUB,1,83,63,928,72
ALST,16,63,83,72,928
LOU,8,75,89,369,631
CREI,9,89,75,631,369
MICH,5,68,65,635,365
UCSD,12,65,68,365,635
TA&M,4,80,71,499,501
YALE,13,71,80,501,499
MISS,6,71,64,644,356
UNC,11,64,71,356,644
ISU,3,82,55,409,591
LIP,14,55,82,591,409
MARQ,7,66,75,830,170
UNM,10,75,66,170,830
