Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
3,1,20,Arkansas,Arkansas,False
3,1,21,BYU,BYU,False
3,1,22,Gonzaga,Gonzaga,False
3,1,23,Miami,Miami,False
3,1,24,Purdue,Purdue,False
3,1,25,Michigan,Michigan,False
3,1,26,Saint Louis,Saint Louis,False
3,1,27,Akron,Texas Tech,True
3,1,28,Alabama,Alabama,False
3,1,29,Miami-OH,Tennessee,True
3,1,30,Virginia,Virginia,False
3,1,31,Santa Clara,Kentucky,True
3,1,32,Iowa State,Iowa State,False
3,2,33,Duke,Duke,False
3,2,34,Kansas,Kansas,False
3,2,35,Louisville,Louisville,False
3,2,36,UCLA,UCLA,False
3,2,37,Florida,Florida,False
3,2,38,Vanderbilt,Vanderbilt,False
3,2,39,North Carolina,Illinois,True
3,2,40,Houston,Houston,False
3,2,41,Arizona,Arizona,False
3,2,42,Arkansas,Arkansas,False
3,2,43,Gonzaga,Gonzaga,False
3,2,44,Purdue,Purdue,False
3,2,45,Michigan,Michigan,False
3,2,46,Akron,Alabama,True
3,2,47,Virginia,Virginia,False
3,2,48,Santa Clara,Iowa State,True
3,3,49,Duke,Duke,False
3,3,50,Louisville,UCLA,True
3,3,51,Vanderbilt,Vanderbilt,False
3,3,52,Houston,Houston,False
3,3,53,Arkansas,Arizona,True
3,3,54,Purdue,Purdue,False
3,3,55,Michigan,Michigan,False
3,3,56,Virginia,Virginia,False
3,4,57,Duke,Duke,False
3,4,58,Houston,Houston,False
3,4,59,Arkansas,Purdue,True
3,4,60,Michigan,Michigan,False
3,5,61,Houston,Houston,False
3,5,62,Michigan,Michigan,False
3,6,63,Michigan,Michigan,False
4,1,1,Duke,Duke,False
4,1,2,Ohio State,Ohio State,False
4,1,3,St. John's,St. John's,False
4,1,4,Kansas,Kansas,False
4,1,5,USF,Louisville,True
4,1,6,Michigan State,Michigan State,False
4,1,7,UCLA,UCLA,False
4,1,8,Connecticut,Connecticut,False
4,1,9,Florida,Florida,False
4,1,10,Iowa,Clemson,True
4,1,11,Vanderbilt,Vanderbilt,False
4,1,12,Nebraska,Nebraska,False
4,1,13,VCU,North Carolina,True
4,1,14,Illinois,Illinois,False
4,1,15,Saint Mary's,Saint Mary's,False
4,1,16,Houston,Houston,False
4,1,17,Arizona,Arizona,False
