team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
HOU,1,100,95,261,739
JMU,12,55,93,435,565
DUKE,4,93,55,565,435
OAK,14,73,79,632,368
NCSU,11,79,73,368,632
COLO,10,77,81,582,418
MARQ,2,81,77,418,582
USU,8,67,106,402,598
PUR,1,106,67,598,402
KU,4,68,89,472,528
GONZ,5,89,68,528,472
ORE,11,73,86,297,703
CREI,3,86,73,703,297
TEX,7,58,62,322,678
TENN,2,62,58,678,322
SDSU,5,52,82,438,562
CONN,1,82,52,562,438
ISU,2,69,72,449,551
ILL,3,72,69,551,449
UNC,1,87,89,348,652
ALA,4,89,87,652,348
ARIZ,2,72,77,535,465
CLEM,6,77,72,465,535
HOU,1,51,54,521,479
DUKE,4,54,51,479,521
MARQ,2,58,67,479,521
NCSU,11,67,58,521,479
GONZ,5,68,80,407,593
PUR,1,80,68,593,407
CREI,3,75,82,549,451
TENN,2,82,75,451,549
ILL,3,52,77,599,401
CONN,1,77,52,401,599
CLEM,6,82,89,298,702
ALA,4,89,82,702,298
DUKE,4,64,76,501,499
NCSU,11,76,64,499,501
TENN,2,66,72,568,432
PUR,1,72,66,432,568
ALA,4,72,86,765,235
CONN,1,86,72,235,765
NCSU,11,63,50,473,527
PUR,1,50,63,527,473
CONN,1,75,60,535,465
PUR,1,60,75,465,535
ALST,16,70,68,315,685
SFPA,16,68,70,685,315
TEX,11,80,86,437,563
XAV,11,86,80,563,437
AMER,16,72,83,359,641
MSM,16,83,72,641,359
SDSU,11,68,95,234,766
UNC,11,95,68,766,234
AUB,1,83,63,677,323
ALST,16,63,83,323,677
LOU,8,75,89,461,539
CREI,9,89,75,539,461
MICH,5,68,65,582,418
UCSD,12,65,68,418,582
TA&M,4,80,71,472,528
YALE,13,71,80,528,472
MISS,6,71,64,589,411
UNC,11,64,71,411,589
ISU,3,82,55,523,477
LIP,14,55,82,477,523
MARQ,7,66,75,680,320
UNM,10,75,66,320,680
MSU,2,87,62,829,171
BRY,15,62,87,171,829
DUKE,1,93,49,795,205
MSM,16,49,93,205,795
MSST,8,72,75,647,353
BAY,9,75,72,353,647
ORE,5,81,52,540,460
LIB,12,52,81,460,540
ARIZ,4,93,65,392,608
AKR,13,65,93,608,392
BYU,6,80,71,432,568
VCU,11,71,80,568,432
WIS,3,85,66,763,237
MONT,14,66,85,237,763
SMC,7,59,56,508,492
VAN,10,56,59,492,508
ALA,2,90,81,669,331
RMU,15,81,90,331,669
HOU,1,78,40,738,262
SIUE,16,40,78,262,738
GONZ,8,89,68,772,228
UGA,9,68,89,228,772
CLEM,5,67,69,694,306
MCN,12,69,67,306,694
PUR,4,75,63,537,463
HPU,13,63,75,463,537
ILL,6,86,73,685,315
XAV,11,73,86,315,685
UK,3,76,57,587,413
TROY,14,57,76,413,587
UCLA,7,72,47,544,456
USU,10,47,72,456,544
TENN,2,77,62,807,193
WOF,15,62,77,193,807
FLA,1,95,69,828,172
NORF,16,69,95,172,828
CONN,8,67,59,465,535
OU,9,59,67,535,465
MEM,5,70,78,370,630
CSU,12,78,70,630,370
MD,4,81,49,664,336
GCU,13,49,81,336,664
MIZ,6,57,67,523,477
DRKE,11,67,57,477,523
TTU,3,82,72,594,406
UNCW,14,72,82,406,594
KU,7,72,79,544,456
ARK,10,79,72,456,544
SJU,2,83,53,630,370
OMA,15,53,83,370,630
AUB,1,82,70,417,583
CREI,9,70,82,583,417
MICH,5,91,79,622,378
TA&M,4,79,91,378,622
MISS,6,91,78,545,455
ISU,3,78,91,455,545
UNM,10,63,71,206,794
MSU,2,71,63,794,206
DUKE,1,89,66,597,403
BAY,9,66,89,403,597
ORE,5,83,87,463,537
ARIZ,4,87,83,537,463
BYU,6,91,89,296,704
WIS,3,89,91,704,296
SMC,7,66,80,360,640
ALA,2,80,66,640,360
HOU,1,81,76,401,599
GONZ,8,76,81,599,401
MCN,12,62,76,349,651
PUR,4,76,62,651,349
ILL,6,75,84,540,460
UK,3,84,75,460,540
UCLA,7,58,67,293,707
TENN,2,67,58,707,293
FLA,1,77,75,722,278
CONN,8,75,77,278,722
CSU,12,71,72,351,649
MD,4,72,71,649,351
DRKE,11,64,77,532,468
TTU,3,77,64,468,532
ARK,10,75,66,415,585
SJU,2,66,75,585,415
AUB,1,78,65,433,567
MICH,5,65,78,567,433
MISS,6,70,73,464,536
MSU,2,73,70,536,464
DUKE,1,100,93,496,504
ARIZ,4,93,100,504,496
BYU,6,88,113,253,747
ALA,2,113,88,747,253
HOU,1,62,60,536,464
PUR,4,60,62,464,536
UK,3,65,78,438,562
TENN,2,78,65,562,438
FLA,1,87,71,574,426
MD,4,71,87,426,574
TTU,3,85,83,644,356
ARK,10,83,85,356,644
AUB,1,70,64,349,651
MSU,2,64,70,651,349
DUKE,1,85,65,346,654
ALA,2,65,85,654,346
HOU,1,69,50,358,642
TENN,2,50,69,642,358
FLA,1,84,79,592,408
TTU,3,79,84,408,592
AUB,1,73,79,300,700
FLA,1,79,73,700,300
DUKE,1,67,70,438,562
HOU,1,70,67,562,438
FLA,1,65,63,610,390
HOU,1,63,65,390,610
