team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
ARK,8,65,88,266,734
UCLA,2,76,79,507,493
GONZ,3,79,76,493,507
TENN,4,55,62,458,542
FAU,9,62,55,542,458
KSU,3,98,93,558,442
MSU,7,93,98,442,558
SDSU,5,57,56,383,617
CREI,6,56,57,617,383
TEX,2,81,88,486,514
MIA,5,88,81,514,486
GONZ,3,54,82,207,793
CONN,4,82,54,793,207
KSU,3,76,79,365,635
FAU,9,79,76,635,365
SDSU,5,72,71,390,610
FAU,9,71,72,610,390
CONN,4,72,59,616,384
MIA,5,59,72,384,616
CONN,4,76,59,634,366
SDSU,5,59,76,366,634
HOW,16,68,71,757,243
WAG,16,71,68,243,757
UVA,10,42,67,306,694
CSU,10,67,42,694,306
MTST,16,81,88,688,312
GRAM,16,88,81,312,688
BOIS,10,53,60,348,652
COLO,10,60,53,652,348
STET,16,52,91,568,432
CONN,1,91,52,432,568
FAU,8,65,77,572,428
NU,9,77,65,428,572
UAB,12,65,69,592,408
SDSU,5,69,65,408,592
AUB,4,76,78,660,340
YALE,13,78,76,340,660
BYU,6,71,67,753,247
DUQ,11,67,71,247,753
MORE,14,69,85,403,597
ILL,3,85,69,597,403
DRKE,10,61,66,534,466
WSU,7,66,61,466,534
SDST,15,65,82,419,581
ISU,2,82,65,581,419
WAG,16,62,90,298,702
UNC,1,90,62,702,298
MSST,8,51,69,507,493
MSU,9,69,51,493,507
SMC,5,66,75,431,569
GCU,12,75,66,569,431
COFC,13,96,109,450,550
ALA,4,109,96,550,450
UNM,11,56,77,390,610
CLEM,6,77,56,610,390
COLG,14,67,92,251,749
BAY,3,92,67,749,251
NEV,10,60,63,402,598
DAY,7,63,60,598,402
LBSU,15,65,85,332,668
ARIZ,2,85,65,668,332
LONG,16,46,86,350,650
HOU,1,86,46,650,350
NEB,8,83,98,461,539
TA&M,9,98,83,539,461
WIS,5,61,72,614,386
JMU,12,72,61,386,614
UVM,13,47,64,419,581
DUKE,4,64,47,581,419
TTU,6,67,80,603,397
NCSU,11,80,67,397,603
UK,3,76,80,433,567
OAK,14,80,76,567,433
FLA,7,100,102,597,403
COLO,10,102,100,403,597
WKU,15,69,87,447,553
MARQ,2,87,69,553,447
GRAM,16,50,78,410,590
PUR,1,78,50,590,410
TCU,9,72,88,624,376
USU,8,88,72,376,624
MCN,12,65,86,446,554
GONZ,5,86,65,554,446
SAM,13,89,93,722,278
KU,4,93,89,278,722
SC,6,73,87,610,390
ORE,11,87,73,390,610
AKR,14,60,77,191,809
CREI,3,77,60,809,191
CSU,10,44,56,525,475
TEX,7,56,44,475,525
SPU,15,49,83,373,627
TENN,2,83,49,627,373
NU,9,58,75,539,461
CONN,1,75,58,461,539
YALE,13,57,85,563,437
SDSU,5,85,57,437,563
DUQ,11,63,89,266,734
ILL,3,89,63,734,266
WSU,7,56,67,271,729
ISU,2,67,56,729,271
MSU,9,69,85,336,664
UNC,1,85,69,664,336
GCU,12,61,72,278,722
ALA,4,72,61,722,278
BAY,3,64,72,564,436
CLEM,6,72,64,436,564
DAY,7,68,78,461,539
ARIZ,2,78,68,539,461
TA&M,9,95,100,720,280
HOU,1,100,95,280,720
JMU,12,55,93,395,605
DUKE,4,93,55,605,395
OAK,14,73,79,699,301
NCSU,11,79,73,301,699
COLO,10,77,81,496,504
MARQ,2,81,77,504,496
USU,8,67,106,427,573
PUR,1,106,67,573,427
KU,4,68,89,482,518
GONZ,5,89,68,518,482
ORE,11,73,86,251,749
CREI,3,86,73,749,251
TEX,7,58,62,260,740
TENN,2,62,58,740,260
SDSU,5,52,82,418,582
CONN,1,82,52,582,418
ISU,2,69,72,511,489
ILL,3,72,69,489,511
UNC,1,87,89,327,673
ALA,4,89,87,673,327
ARIZ,2,72,77,534,466
CLEM,6,77,72,466,534
HOU,1,51,54,487,513
DUKE,4,54,51,513,487
MARQ,2,58,67,553,447
NCSU,11,67,58,447,553
GONZ,5,68,80,456,544
PUR,1,80,68,544,456
CREI,3,75,82,594,406
TENN,2,82,75,406,594
ILL,3,52,77,632,368
CONN,1,77,52,368,632
CLEM,6,82,89,327,673
ALA,4,89,82,673,327
DUKE,4,64,76,535,465
NCSU,11,76,64,465,535
TENN,2,66,72,617,383
PUR,1,72,66,383,617
ALA,4,72,86,760,240
CONN,1,86,72,240,760
NCSU,11,63,50,464,536
PUR,1,50,63,536,464
CONN,1,75,60,531,469
PUR,1,60,75,469,531
ALST,16,70,68,358,642
SFPA,16,68,70,642,358
TEX,11,80,86,387,613
XAV,11,86,80,613,387
AMER,16,72,83,603,397
MSM,16,83,72,397,603
SDSU,11,68,95,282,718
UNC,11,95,68,718,282
AUB,1,83,63,614,386
ALST,16,63,83,386,614
LOU,8,75,89,463,537
CREI,9,89,75,537,463
MICH,5,68,65,556,444
UCSD,12,65,68,444,556
TA&M,4,80,71,468,532
YALE,13,71,80,532,468
MISS,6,71,64,633,367
UNC,11,64,71,367,633
ISU,3,82,55,405,595
LIP,14,55,82,595,405
MARQ,7,66,75,778,222
UNM,10,75,66,222,778
MSU,2,87,62,733,267
BRY,15,62,87,267,733
DUKE,1,93,49,820,180
MSM,16,49,93,180,820
MSST,8,72,75,659,341
BAY,9,75,72,341,659
ORE,5,81,52,459,541
LIB,12,52,81,541,459
ARIZ,4,93,65,333,667
AKR,13,65,93,667,333
BYU,6,80,71,308,692
VCU,11,71,80,692,308
WIS,3,85,66,723,277
MONT,14,66,85,277,723
SMC,7,59,56,368,632
VAN,10,56,59,632,368
ALA,2,90,81,722,278
RMU,15,81,90,278,722
HOU,1,78,40,810,190
SIUE,16,40,78,190,810
GONZ,8,89,68,807,193
UGA,9,68,89,193,807
CLEM,5,67,69,730,270
MCN,12,69,67,270,730
PUR,4,75,63,495,505
HPU,13,63,75,505,495
ILL,6,86,73,680,320
XAV,11,73,86,320,680
UK,3,76,57,637,363
TROY,14,57,76,363,637
UCLA,7,72,47,484,516
USU,10,47,72,516,484
TENN,2,77,62,694,306
WOF,15,62,77,306,694
FLA,1,95,69,897,103
NORF,16,69,95,103,897
CONN,8,67,59,514,486
OU,9,59,67,486,514
MEM,5,70,78,334,666
CSU,12,78,70,666,334
MD,4,81,49,678,322
GCU,13,49,81,322,678
MIZ,6,57,67,565,435
DRKE,11,67,57,435,565
TTU,3,82,72,700,300
UNCW,14,72,82,300,700
KU,7,72,79,628,372
ARK,10,79,72,372,628
SJU,2,83,53,704,296
OMA,15,53,83,296,704
AUB,1,82,70,445,555
CREI,9,70,82,555,445
MICH,5,91,79,593,407
TA&M,4,79,91,407,593
MISS,6,91,78,645,355
ISU,3,78,91,355,645
UNM,10,63,71,313,687
MSU,2,71,63,687,313
DUKE,1,89,66,507,493
BAY,9,66,89,493,507
ORE,5,83,87,473,527
ARIZ,4,87,83,527,473
BYU,6,91,89,280,720
WIS,3,89,91,720,280
SMC,7,66,80,315,685
ALA,2,80,66,685,315
HOU,1,81,76,432,568
GONZ,8,76,81,568,432
MCN,12,62,76,330,670
PUR,4,76,62,670,330
ILL,6,75,84,493,507
UK,3,84,75,507,493
UCLA,7,58,67,327,673
TENN,2,67,58,673,327
FLA,1,77,75,651,349
CONN,8,75,77,349,651
CSU,12,71,72,414,586
MD,4,72,71,586,414
DRKE,11,64,77,598,402
TTU,3,77,64,402,598
ARK,10,75,66,351,649
SJU,2,66,75,649,351
AUB,1,78,65,528,472
MICH,5,65,78,472,528
MISS,6,70,73,594,406
MSU,2,73,70,406,594
DUKE,1,100,93,498,502
ARIZ,4,93,100,502,498
BYU,6,88,113,208,792
ALA,2,113,88,792,208
HOU,1,62,60,591,409
PUR,4,60,62,409,591
UK,3,65,78,483,517
TENN,2,78,65,517,483
FLA,1,87,71,599,401
MD,4,71,87,401,599
TTU,3,85,83,706,294
ARK,10,83,85,294,706
AUB,1,70,64,465,535
MSU,2,64,70,535,465
DUKE,1,85,65,251,749
ALA,2,65,85,749,251
HOU,1,69,50,474,526
TENN,2,50,69,526,474
FLA,1,84,79,590,410
TTU,3,79,84,410,590
AUB,1,73,79,365,635
FLA,1,79,73,635,365
DUKE,1,67,70,376,624
HOU,1,70,67,624,376
FLA,1,65,63,579,421
HOU,1,63,65,421,579
