team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
SEMO,16,71,75,527,473
AMCC,16,75,71,473,527
MSST,11,59,60,375,625
PITT,11,60,59,625,375
NEV,11,73,98,487,513
ASU,11,98,73,513,487
TXSO,16,61,84,51,949
FDU,16,84,61,949,51
ALA,1,96,75,645,355
AMCC,16,75,96,355,645
MD,8,67,65,495,505
WVU,9,65,67,505,495
SDSU,5,63,57,385,615
COFC,12,57,63,615,385
UVA,4,67,68,264,736
FUR,13,68,67,736,264
CREI,6,72,63,605,395
NCSU,11,63,72,395,605
BAY,3,74,56,685,315
UCSB,14,56,74,315,685
MIZ,7,76,65,743,257
USU,10,65,76,257,743
ARIZ,2,55,59,430,570
PRIN,15,59,55,570,430
HOU,1,63,52,526,474
NKU,16,52,63,474,526
IOWA,8,75,83,439,561
AUB,9,83,75,561,439
MIA,5,63,56,482,518
DRKE,12,56,63,518,482
IU,4,71,60,353,647
KENT,13,60,71,647,353
ISU,6,41,59,152,848
PITT,11,59,41,848,152
XAV,3,72,67,564,436
KENN,14,67,72,436,564
TA&M,7,59,76,602,398
PSU,10,76,59,398,602
TEX,2,81,61,756,244
COLG,15,61,81,244,756
KU,1,96,68,545,455
HOW,16,68,96,455,545
ARK,8,73,63,528,472
ILL,9,63,73,472,528
SMC,5,63,51,465,535
VCU,12,51,63,535,465
CONN,4,87,63,636,364
IONA,13,63,87,364,636
TCU,6,72,70,532,468
ASU,11,70,72,468,532
GONZ,3,82,70,419,581
GCU,14,70,82,581,419
NU,7,75,67,549,451
BOIS,10,67,75,451,549
UCLA,2,86,53,517,483
UNCA,15,53,86,483,517
PUR,1,58,63,504,496
FDU,16,63,58,496,504
MEM,8,65,66,336,664
FAU,9,66,65,664,336
DUKE,5,74,51,405,595
ORU,12,51,74,595,405
TENN,4,58,55,715,285
ULM,13,55,58,285,715
UK,6,61,53,421,579
PROV,11,53,61,579,421
KSU,3,77,65,544,456
MTST,14,65,77,456,544
MSU,7,72,62,517,483
USC,10,62,72,483,517
MARQ,2,78,61,728,272
UVM,15,61,78,272,728
ALA,1,73,51,861,139
MD,8,51,73,139,861
SDSU,5,75,52,427,573
FUR,13,52,75,573,427
BAY,3,76,85,320,680
CREI,6,85,76,680,320
MIZ,7,63,78,523,477
PRIN,15,78,63,477,523
HOU,1,81,64,518,482
AUB,9,64,81,482,518
IU,4,69,85,380,620
MIA,5,85,69,620,380
XAV,3,84,73,296,704
PITT,11,73,84,704,296
TEX,2,71,66,273,727
PSU,10,66,71,727,273
KU,1,71,72,526,474
ARK,8,72,71,474,526
CONN,4,70,55,664,336
SMC,5,55,70,336,664
GONZ,3,84,81,421,579
TCU,6,81,84,579,421
UCLA,2,68,63,506,494
NU,7,63,68,494,506
FAU,9,78,70,594,406
FDU,16,70,78,406,594
TENN,4,65,52,593,407
DUKE,5,52,65,407,593
KSU,3,75,69,526,474
UK,6,69,75,474,526
MARQ,2,60,69,758,242
MSU,7,69,60,242,758
ALA,1,64,71,503,497
SDSU,5,71,64,497,503
CREI,6,86,75,600,400
PRIN,15,75,86,400,600
HOU,1,75,89,489,511
MIA,5,89,75,511,489
TEX,2,83,71,530,470
XAV,3,71,83,470,530
CONN,4,88,65,734,266
