team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
HOU,1,100,95,201,799
JMU,12,55,93,386,614
DUKE,4,93,55,614,386
OAK,14,73,79,757,243
NCSU,11,79,73,243,757
COLO,10,77,81,502,498
MARQ,2,81,77,498,502
USU,8,67,106,402,598
PUR,1,106,67,598,402
KU,4,68,89,493,507
GONZ,5,89,68,507,493
ORE,11,73,86,262,738
CREI,3,86,73,738,262
TEX,7,58,62,312,688
TENN,2,62,58,688,312
SDSU,5,52,82,420,580
CONN,1,82,52,580,420
ISU,2,69,72,607,393
ILL,3,72,69,393,607
UNC,1,87,89,315,685
ALA,4,89,87,685,315
ARIZ,2,72,77,548,452
CLEM,6,77,72,452,548
HOU,1,51,54,497,503
DUKE,4,54,51,503,497
MARQ,2,58,67,528,472
NCSU,11,67,58,472,528
GONZ,5,68,80,465,535
PUR,1,80,68,535,465
CREI,3,75,82,628,372
TENN,2,82,75,372,628
ILL,3,52,77,635,365
CONN,1,77,52,365,635
CLEM,6,82,89,222,778
ALA,4,89,82,778,222
DUKE,4,64,76,578,422
NCSU,11,76,64,422,578
TENN,2,66,72,649,351
PUR,1,72,66,351,649
ALA,4,72,86,824,176
CONN,1,86,72,176,824
NCSU,11,63,50,453,547
PUR,1,50,63,547,453
CONN,1,75,60,512,488
PUR,1,60,75,488,512
ALST,16,70,68,196,804
SFPA,16,68,70,804,196
TEX,11,80,86,431,569
XAV,11,86,80,569,431
AMER,16,72,83,529,471
MSM,16,83,72,471,529
SDSU,11,68,95,166,834
UNC,11,95,68,834,166
AUB,1,83,63,789,211
ALST,16,63,83,211,789
LOU,8,75,89,365,635
CREI,9,89,75,635,365
MICH,5,68,65,624,376
UCSD,12,65,68,376,624
TA&M,4,80,71,422,578
YALE,13,71,80,578,422
MISS,6,71,64,701,299
UNC,11,64,71,299,701
ISU,3,82,55,401,599
LIP,14,55,82,599,401
MARQ,7,66,75,871,129
UNM,10,75,66,129,871
MSU,2,87,62,860,140
BRY,15,62,87,140,860
DUKE,1,93,49,914,86
MSM,16,49,93,86,914
MSST,8,72,75,666,334
BAY,9,75,72,334,666
ORE,5,81,52,473,527
LIB,12,52,81,527,473
ARIZ,4,93,65,328,672
AKR,13,65,93,672,328
BYU,6,80,71,387,613
VCU,11,71,80,613,387
WIS,3,85,66,782,218
MONT,14,66,85,218,782
SMC,7,59,56,378,622
VAN,10,56,59,622,378
ALA,2,90,81,886,114
RMU,15,81,90,114,886
HOU,1,78,40,936,64
SIUE,16,40,78,64,936
GONZ,8,89,68,838,162
UGA,9,68,89,162,838
CLEM,5,67,69,814,186
MCN,12,69,67,186,814
PUR,4,75,63,532,468
HPU,13,63,75,468,532
ILL,6,86,73,763,237
XAV,11,73,86,237,763
UK,3,76,57,789,211
TROY,14,57,76,211,789
UCLA,7,72,47,575,425
USU,10,47,72,425,575
TENN,2,77,62,769,231
WOF,15,62,77,231,769
FLA,1,95,69,964,36
NORF,16,69,95,36,964
CONN,8,67,59,422,578
OU,9,59,67,578,422
MEM,5,70,78,280,720
CSU,12,78,70,720,280
MD,4,81,49,766,234
GCU,13,49,81,234,766
MIZ,6,57,67,689,311
DRKE,11,67,57,311,689
TTU,3,82,72,821,179
UNCW,14,72,82,179,821
KU,7,72,79,673,327
ARK,10,79,72,327,673
SJU,2,83,53,708,292
OMA,15,53,83,292,708
AUB,1,82,70,444,556
CREI,9,70,82,556,444
MICH,5,91,79,679,321
TA&M,4,79,91,321,679
MISS,6,91,78,654,346
ISU,3,78,91,346,654
UNM,10,63,71,220,780
MSU,2,71,63,780,220
DUKE,1,89,66,657,343
BAY,9,66,89,343,657
ORE,5,83,87,523,477
ARIZ,4,87,83,477,523
BYU,6,91,89,249,751
WIS,3,89,91,751,249
SMC,7,66,80,223,777
ALA,2,80,66,777,223
HOU,1,81,76,408,592
GONZ,8,76,81,592,408
MCN,12,62,76,228,772
PUR,4,76,62,772,228
ILL,6,75,84,469,531
UK,3,84,75,531,469
UCLA,7,58,67,250,750
TENN,2,67,58,750,250
FLA,1,77,75,772,228
CONN,8,75,77,228,772
CSU,12,71,72,340,660
MD,4,72,71,660,340
DRKE,11,64,77,490,510
